VARIABLES = "X" "Y" "Z" "Cp" "Beta"
ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_CUTDATA"
1.17118 0.75000 0.00491 0.06267 0.00000
1.18775 0.75000 0.00287 0.08799 0.00000
1.19766 0.75000 0.00165 0.10374 0.00000
1.20361 0.75000 0.00090 0.11371 0.00000

ZONE T="SLICE_Y_1p4_BINS15_KS_1mm_CUTDATA"
0.83799 1.40000 0.01737 -0.52630 0.00000
0.85872 1.40000 0.02022 -0.40239 0.00000
0.89237 1.40000 0.02350 -0.32734 0.00000
0.94395 1.40000 0.02660 -0.27196 0.00000
1.01538 1.40000 0.02843 -0.22646 0.00000
1.10078 1.40000 0.02689 -0.17492 0.00000
1.18618 1.40000 0.02154 -0.10998 0.00000
1.25762 1.40000 0.01536 -0.04776 0.00000
1.30919 1.40000 0.01013 -0.00057 0.00000
1.34284 1.40000 0.00624 0.03821 0.00000
1.36358 1.40000 0.00369 0.06907 0.00000
1.37604 1.40000 0.00216 0.08934 0.00000
1.38350 1.40000 0.00124 0.10226 0.00000
1.38798 1.40000 0.00068 0.11063 0.00000
1.39066 1.40000 0.00034 0.11684 0.00000
1.39223 1.40000 0.00014 0.12059 0.00000
1.39305 1.40000 0.00003 0.12287 0.00000
1.39331 1.40000 0.00000 0.12289 0.00000
1.39305 1.40000 -0.00003 0.12405 0.00000
1.39223 1.40000 -0.00014 0.12065 0.00000
1.39066 1.40000 -0.00034 0.11604 0.00000
1.38798 1.40000 -0.00068 0.10853 0.00000
1.38350 1.40000 -0.00124 0.09841 0.00000
1.37604 1.40000 -0.00216 0.08326 0.00000
1.36358 1.40000 -0.00369 0.05981 0.00000
1.34284 1.40000 -0.00624 0.02612 0.00000
1.30919 1.40000 -0.01013 -0.01135 0.00000
1.25762 1.40000 -0.01536 -0.05259 0.00000
1.18618 1.40000 -0.02154 -0.10315 0.00000
1.10078 1.40000 -0.02689 -0.14720 0.00000
1.01538 1.40000 -0.02843 -0.16498 0.00000
0.94395 1.40000 -0.02660 -0.16243 0.00003
0.89237 1.40000 -0.02350 -0.15284 0.00298
0.85872 1.40000 -0.02022 -0.14025 0.01870
0.83799 1.40000 -0.01737 -0.14088 0.05260
0.82552 1.40000 -0.01502 -0.13220 0.14199
0.81807 1.40000 -0.01237 -0.01138 0.29660
0.81359 1.40000 -0.00952 0.23465 0.44790
0.81090 1.40000 -0.00681 0.47824 0.55543
0.80933 1.40000 -0.00436 0.64918 0.62520
0.80851 1.40000 -0.00214 0.71539 0.66253
0.80826 1.40000 0.00000 0.64673 0.66553
0.80851 1.40000 0.00214 0.47052 0.63283
0.80933 1.40000 0.00436 0.20162 0.56341
0.81090 1.40000 0.00681 -0.13275 0.46383
0.81359 1.40000 0.00952 -0.47295 0.32864
0.81807 1.40000 0.01237 -0.69060 0.14903
